file_id,path,rom_offset,size,member_count,member_bytes,sections,member_kinds,sha1,sha256
449,a/2/0/7,178683904,58508,1,58448,BTAF;BTNF;GMIF,"{""BMD0"": 1}",d9b947d339cfb2308c5d105af13712387f5266bb,ce008b027f434a4a8469545fe70b89720affbfaf4c50d0abc554e7640a4865fc
450,a/2/0/8,178742784,1228,4,1144,BTAF;BTNF;GMIF,"{""unknown"": 4}",1a8c156e101978584f1e5696843023659c358d04,d0774312c661edd928ae5f4ba43587f6038dacf16eda3d3d432d4b75fcf9b4de
451,a/2/0/9,178744320,916,1,856,BTAF;BTNF;GMIF,"{""unknown"": 1}",4e81984b18914ef296f1287629669efdf6444426,694a6cc55300144e6fe0ad127b8e656e0d3651c48e923e6e4fbe18de4cff8def
452,a/2/1/0,178745344,11928,9,11804,BTAF;BTNF;GMIF,"{""BCA0"": 1, ""BMA0"": 2, ""BMD0"": 3, ""BTA0"": 3}",b6d5208f3f6fceaea281c19dc11ee6dde2f95492,2efd8f72afb9da348563a9125edbf4a2dfbe1524829951a0c6f3a8dc68f391cc
453,a/2/1/1,178757632,4588,1,4528,BTAF;BTNF;GMIF,"{""unknown"": 1}",ff47c5ea88a0c116df1ccd38fedc14a10d847506,a8759ee242b152db85470f95a4057e67d385ab19724631924170224c446f5ab9
454,a/2/1/2,178762240,34708,2,34638,BTAF;BTNF;GMIF,"{""unknown"": 2}",2009cf2d1f3d60e68ebd5e29b366c0295788f00d,27e899767b67c4be9295bd6c01ac3317b2709446eb9549db746211a7294e8996
455,a/2/1/3,178797056,3500,8,3379,BTAF;BTNF;GMIF,"{""LZ11"": 6, ""NCLR"": 2}",b00254cbecd916eba1a4b0873cb5b8c7439e514e,e70556666840ccc936d5b29620fd331b260911ba0311979940235443f1d06297
456,a/2/1/4,178800640,24052,1000,16000,BTAF;BTNF;GMIF,"{""LZ10"": 6, ""LZ11"": 2, ""unknown"": 992}",66dc67f3d71e9dba320229e106b1a80e204462e6,a211e9995a6ce519ca26affb266310ba3b563ebdd963efbf9937242f72840d74
457,a/2/1/5,178824704,41780,315,39020,BTAF;BTNF;GMIF,"{""LZ11"": 6, ""unknown"": 309}",9bd6fd179c67df47de315e0b1fe2186081dfb07a,e9f956afa8675ed1558fec06e73f235cb2ec0c4e47d79b7e92bbcd716dbe2587
458,a/2/1/6,178866688,1353488,52,1353014,BTAF;BTNF;GMIF,"{""NANR"": 2, ""NCER"": 2, ""NCGR"": 5, ""NCLR"": 21, ""NSCR"": 4, ""unknown"": 18}",f928ad689bcb8d8111deef109369a3a24af7a8e3,d94bfcbcbe5e6d2ae9ce7fe83c99eff973c1aea9e6ae81a8afe2b4f4118e25e1
459,a/2/1/7,180220416,9564,2,9496,BTAF;BTNF;GMIF,"{""BMD0"": 1, ""BTA0"": 1}",98cdd9dc6c03592870a34c0136926b0fc87a3331,46814dd6c65241c3587518fa8ec122f545b91c05f97c97e56e4c5ab75a80e7cb
460,a/2/1/8,180230144,9516,4,9432,BTAF;BTNF;GMIF,"{""BCA0"": 1, ""BMA0"": 1, ""BMD0"": 1, ""BTP0"": 1}",190d3c5c78773d8b5baa7e7b2b998f32bcecb175,42ab2067502ee346b9b110968f9e852292934b39c182a1f2292c8b0363c41bec
461,a/2/1/9,180239872,66120,10,65988,BTAF;BTNF;GMIF,"{""BCA0"": 2, ""BMA0"": 2, ""BMD0"": 2, ""BTA0"": 1, ""BTP0"": 3}",0151c87f2fde7421648503af6bc7e17a52362414,b6e5de3bc3676705299e5ecc1665de79f71becadb05042f8c3de1577f5a0dc18
462,a/2/2/0,180306432,531688,13,531532,BTAF;BTNF;GMIF,"{""BCA0"": 2, ""BMD0"": 2, ""BTP0"": 2, ""NCGR"": 1, ""NCLR"": 2, ""NSCR"": 2, ""unknown"": 2}",2993bc9aab8a7486b6f291adf542e1ff5f569583,b2d22088ee9a24e226b9d1ec2d77b1470b709859cb7633b720f52984334fe012
463,a/2/2/1,180838400,23788,7,23680,BTAF;BTNF;GMIF,"{""unknown"": 7}",06bc7cd6bc2c70617cc60e25c2b42794107d0e23,c35b927ebfc1e87037e049fa4a3cdf6e3c00f179f341561a0db8ac322e70ab0c
464,a/2/2/2,180862464,27956,6,27856,BTAF;BTNF;GMIF,"{""BMD0"": 6}",c86189fa5e0e9dda268f80df62405fc9b8c67cad,525c76f1a7b2a51d5db8d601e3031af60fae84a54efab241fa93aeba86351b9b
465,a/2/2/3,180890624,12472,13,12312,BTAF;BTNF;GMIF,"{""NANR"": 1, ""NCER"": 1, ""NCGR"": 2, ""NCLR"": 2, ""NSCR"": 3, ""unknown"": 4}",a35d0e7b89f5bf79d8bec12d5deb281007ae20d3,eb40cc377bbdb8eba3cae78479e5acb6f7bf4533a92625b2c6d3765045297abf
466,a/2/2/4,180903424,228,4,144,BTAF;BTNF;GMIF,"{""unknown"": 4}",91ba1f897a0bc997d5ccd85de06dba8c9a1083da,c946838ab85950c97bf783f04328eb0e520e6cc40901db50552b22f4177f68f6
467,a/2/2/5,180903936,1898452,151,1896945,BTAF;BTNF;GMIF,"{""LZ11"": 151}",8b094767bb8fd045509ee99d6eb725d002fbba02,bb8697bd51ca72492d0e72589b4e44d77825bcd87de4c4a29eb7fb32d41220b7
468,a/2/2/6,182802432,4367532,174,4365815,BTAF;BTNF;GMIF,"{""LZ11"": 174}",d84a04ff74d02c3c985c92235f547f188b162922,350d034fd5b7f1bc36f236db039c687a0a71837bb25f30585b7079d0c404dd3b
469,a/2/2/7,187170304,556,1,494,BTAF;BTNF;GMIF,"{""unknown"": 1}",51cc61ad1397a749e9941bb1f283c01361d57539,39f4dd8b93900306967f8e6d80dc7fc4d5fc7efb94d9963effb02107a9aad114
470,a/2/2/8,187171328,56140,6,56040,BTAF;BTNF;GMIF,"{""BCA0"": 2, ""BMD0"": 2, ""BTP0"": 2}",ff2a4262b06b546565bb597aa6314461028b6430,f8bf19885db90d9ae1a9592d01f075fc6f7beb96cbafadd147be82ed608af7fa
471,a/2/2/9,187227648,4451172,52,4450704,BTAF;BTNF;GMIF,"{""unknown"": 52}",e299f8d9848b2020886055b4cb92ffd7898f8576,a05c06cf33cbb66756fd57ec6b8ad29f32b59e4a7ba37e6615f02bc43008827b
472,a/2/3/0,191678976,4602664,64,4602100,BTAF;BTNF;GMIF,"{""unknown"": 64}",a61bb0f2cb33118de1938a7fd2dda09face2af03,d5ecc68b57e1467220d4fcc42a4994392d1bd95cd6b8dd2f479d3909d654afdd
473,a/2/3/1,196281856,1208900,73,1208157,BTAF;BTNF;GMIF,"{""LZ10"": 73}",1eb16bec8ababe007e531afc8b700f5ee4c77ce8,c9bc347a94455df633b97c93bc77c75c713b5d3552f52d46640a966512350b5a
474,a/2/3/2,197491200,708,1,627,BTAF;BTNF;GMIF,"{""unknown"": 1}",cd1047f9411c3990dd40fd6f0fe2eecc78d84c25,4d72d5bb971710b848c9169727a5341beffe974cb1aa90f2806b5fa096ae4c8d
475,a/2/3/3,197492224,256,2,185,BTAF;BTNF;GMIF,"{""LZ10"": 2}",e857b3b22444ad54633cb34f9ca95d2fe7284ae2,542ea87c42092d11d8718abe62768e989fcb80e3a451626d7bf503b3bb9ed5ce
476,a/2/3/4,197492736,5848,3,5772,BTAF;BTNF;GMIF,"{""NCGR"": 1, ""NCLR"": 1, ""NSCR"": 1}",6c12571d81baeaf9858e0ba85103b01ca6b6b613,7e15ab9c8024aae7b725a08a42e9b80cb33149cc6dc1651218358cf01707bc0f
